FID,FID_,county,route_id,route_name,segment_id,segmt_name,steward_id,stew_unit,stew_type,segmt_type,route_type,foot,bicycle,horse,wheelchair,motor_vehi,etc_app,stew_name,length_f_1,length_m,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Length
3058,0,Orange,ot25,Salt Creek Beach Park and Beach Route,o150,ramp to Salt Creek Beach County Park,ors1,Salt Creek Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,County of Orange,118,36,48cb26b9-642e-4345-83ea-1eadc4bb88bf,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,36.0672199489518
3059,0,Orange,ot25,Salt Creek Beach Park and Beach Route,o95,stairway to Salt Creek Beach County Park,ors1,Salt Creek Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,County of Orange,247,75,b36a7274-cb7b-4d7c-9643-d66ef617b1cd,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,75.3319813924429
3060,0,Orange,ot25,Salt Creek Beach Park and Beach Route,o104,Salt Creek Beach County Park trails,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes,no,no,no,no,yes,County of Orange,1759,536,edc0451e-0627-43d6-943e-33044a429cb2,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,536.168697929051
3061,0,Orange, , ,0,Ritz Carlton perimeter trail,Private,Ritz Carlton,Private,Primary CCT,Trail,yes, , , ,no,no,Private,1325,404,87d41513-35f6-4d1a-ae19-c645e7fcc62e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,403.801482096196
3062,0,Orange,ot27,Strand Beach Route and Revetment Trail,o98,stairway to Salt Creek Beach County Park,ors1,Salt Creek Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,County of Orange,119,36,81e42494-dd08-4652-8898-b2c638441a59,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,36.1782871531513
3063,0,Orange, , ,0,ramp to Salt Creek Beach County Park,ors1,Salt Creek Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,County of Orange,93,28,5a708bc2-dd42-40f5-9a57-f2d59aa67fdc,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,28.2416430178295
3064,0,Orange, , ,0,Crystal Cove Trails - Reef Point Vista Trail,ca2,Crystal Cove State Park,State Parks,Primary CCT,Trail,yes,no,no,no,no,no,California State Parks,93,28,0b16cf15-dd28-45bb-95eb-31fe78ae3285,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,28.2575519737021
3065,0,Orange,ot19,Crystal Cove Bluff Top Trails,o58,Crystal Cove Trails,ca2,Crystal Cove State Park,State Parks,Primary CCT,Trail,yes,no,no,no,no,yes,California State Parks,296,90,8fd68f18-4748-4b19-96d6-b0f1d45fb5a7,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,90.3674472044696
3066,0,Orange,ot18,Crystal Cove State Beach Route,o75,stairs to Crystal Cove State Beach,ca2,Crystal Cove State Park,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,371,113,4b18bc1f-a81b-4141-ba36-cd8cc456968b,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,112.990935438281
3067,0,Orange,ot19,Crystal Cove Bluff Top Trails,o72,Crystal Cove Trails - Overlook,ca2,Crystal Cove State Park,State Parks,Primary CCT,Trail,yes,no,no,no,no,yes,California State Parks,351,107,0c10a62c-f1bb-4e56-8dc5-9fe995045bf4,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,106.880174223056
3068,0,Orange, , ,0,stairs to Laguna Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,103,31,e1fc2c6c-0c7a-43e9-9dcc-e24f5fd90c59,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,31.4144948554484
3069,0,Orange, , ,0,stairs to Laguna Beach - Main Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,111,34,f5d2c6d0-2e3d-4787-bd71-251d84183706,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,33.7818410837663
3070,0,Orange,ot37,Laguna Beach Route,o142,Laguna Beach - Main Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,City of Laguna Beach,1402,427,5efd57c4-91d9-46d3-91fd-00766053c6da,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,427.330960180553
3071,0,Orange,ot37,Laguna Beach Route,o143,Laguna Beach - Main Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,City of Laguna Beach,827,252,5db518c3-acb4-4272-9d6a-f60d0ebb130d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,252.204324880362
3072,0,Orange,ot22,Treasure Island Bluff Trail,o84,Montage Resort trail,Private,Montage Resort,Private,Primary CCT,Trail,yes,no,no,yes,no,yes,Private,1714,522,6f332470-2a9e-489a-b5f3-7eb962f77a92,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,522.329031153731
3073,0,Orange,ot22,Treasure Island Bluff Trail,o85,Treasure Island Park trails,ors5,City of Laguna Beach,City,Primary CCT,Trail,yes,no,no,yes,no,yes,City of Laguna Beach,970,296,e1a149ca-a109-4123-8298-3a8bf4e26f5f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,295.757254143943
3074,0,Orange,ot22,Treasure Island Bluff Trail,o87,stairs to Treasure Island Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Laguna Beach,188,57,9d39d6e8-04a8-4d40-863a-849a45322bfc,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,57.4080254298597
3075,0,Orange,ot21,Victoria Beach Route,o83,Treasure Island Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,City of Laguna Beach,606,185,77bf43c0-2482-4311-9e53-056ef30feca9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,184.589570304303
3076,0,Orange, , ,0,Treasure Island Park trails - overlook,ors5,City of Laguna Beach,City,Primary CCT,Trail,yes, , , ,no,no,City of Laguna Beach,222,68,a6c5b47b-94e5-4750-bb71-145d43001b37,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,67.7257767768155
3077,0,Orange,ot22,Treasure Island Bluff Trail,o89,ramp to Treasure Island Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Laguna Beach,433,132,db3c57df-fd60-4d42-bf45-c3a0b64f7795,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,131.963411181634
3078,0,Orange, , ,0,stairs to Treasure Island Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,111,34,044ee0ee-0c1c-4b33-af43-2caced928f35,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,33.9255195024847
3079,0,Orange, , ,0,Dana Strand Road,ors6,City of Dana Point,City,Primary CCT,Sidewalk,yes, ,no, , ,no,City of Dana Point,714,218,dcbe9be9-c9be-414a-9c08-2721b66923fb,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,217.602727199407
3080,0,Orange, , ,0,Salt Creek Trail,ors1,Orange County,County,Other Trail,Trail,yes, , , ,no,no,County of Orange,20474,6240,8bf3db00-1042-4266-a334-6e5dd335b20f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,6240.49795695693
3081,0,Orange,ot8,Santa Ana River Trail,o25,Santa Ana River Trail,ors1,Orange County,County,Other Trail,Trail,yes,yes,no,yes,no,yes,County of Orange,30571,9318,cb282a5f-3483-4ca8-b7cc-eef4f4df0f3d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,9317.95387968099
3082,0,Orange, , ,0,railroad public overpass to Doheny State Beach,ors1,Orange County,County,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,County of Orange,475,145,bedf12d6-a0a9-41f3-90f8-6f29dfcd7119,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,144.807341672701
3083,0,Orange, , ,0,Crescent Bay Point Park,ors1,Orange County Parks,County,Primary CCT,Trail,yes, , , ,no,no,County of Orange,726,221,2dd53e3f-3c2a-47f0-8ef2-ef3f988ffeb1,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,221.271305596093
3084,0,Orange, , ,0,ramp to Laguna Beach - Diver's Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,289,88,601ee07c-928b-4f69-a122-f596a8914448,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,87.966936802682
3085,0,Orange, , ,0,Diver's Cove,ors5,City of Laguna Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,City of Laguna Beach,1131,345,f4b4e297-b39e-411d-8290-93c9b179d5d3,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,344.881521101631
3086,0,Orange, , ,0,Laguna Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,City of Laguna Beach,388,118,d16b5107-57d8-4246-a613-c020f08b7d26,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,118.259347945742
3087,0,Orange, , ,0,stairs to Diver's Cove,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,96,29,fad5f714-988f-4c08-b8c2-bf23f38d2cef,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,29.3933721064743
3088,0,Orange, , ,0,stairs to Laguna Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,194,59,94768205-9d4c-40ed-94f6-cc99c566560a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,59.2342533168701
3089,0,Orange, , ,0,Kid Beach - Balboa,ors4,City of Newport Beach,City,Primary CCT,Sidewalk,yes, ,no, , ,no,City of Newport Beach,161,49,ce7b74fe-4068-4dec-bb55-a391e3717289,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,49.2112798759317
3090,0,Orange, , ,0,Channel Road public pier - Balboa,ors4,City of Newport Beach,City,Beach or Shoreline Access CCT,Pier,yes,yes, , yes,no,no,City of Newport Beach,193,59,46ca0408-852b-43e8-a737-21c929db038b,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,58.6845954718577
3091,0,Orange, , ,0,West Jetty Park - Balboa,ors4,City of Newport Beach,City,Primary CCT,Sidewalk,yes, ,no, , ,no,City of Newport Beach,321,98,6dbdd8ee-e24a-4a03-96f3-aece4a6741bb,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,97.8822562974941
3092,0,Orange,ot11,Newport Peninsula Bayfront Path,o34,Edgewater Avenue walkway,ors4,City of Newport Beach,City,Primary CCT,Trail,yes,yes,no,no,no,yes,City of Newport Beach,3169,966,cc8e45c8-ed70-483c-8b51-976212a52cf5,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,965.99198093937
3093,0,Orange,ot11,Newport Peninsula Bayfront Path,o35,Buena Vista walkway - Balboa,ors4,City of Newport Beach,City,Primary CCT,Trail,yes,yes,no,no,yes,yes,City of Newport Beach,924,282,a5f11e89-9dc6-46e0-b69f-30d0a580840f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,281.756762237913
3094,0,Orange, , ,0,to San Clemente City Beach,ors7,City of San Clemente,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of San Clemente,90,27,7c1d0541-8920-4e59-9035-bfc3d660e772,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,27.3769059762019
3095,0,Orange, , ,0,San Clemente Municipal Pier,ors7,City of San Clemente,City,Beach or Shoreline Access CCT,Pier,yes,yes, ,yes,no,no,City of San Clemente,1739,530,77576e91-60d4-4403-afb6-05cd8bbbd732,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,530.114543570227
3096,0,Orange,ot12,Newport Bay Connector,o45,Fernleaf Avenue - Corona Del Mar,ors4,City of Newport Beach,City,Secondary CCT,Roadway,yes,yes,no,no,no,yes,City of Newport Beach,1118,341,073705ea-5e96-4d6c-89a5-582b2512cb7f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,340.917499269246
3097,0,Orange, , ,0,stairs off Dije Courth to San Clemente State Beach,ors7,City of San Clemente,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of San Clemente,414,126,b8296d70-bac1-432d-b134-61a57f06e34a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,126.145443580505
3098,0,Orange,ot27,Strand Beach Route and Revetment Trail,o99,Silver Strand Beach County Park,ors1,Silver Strand Beach County Park,County Park,Beach or Shoreline Route CCT,Beach,yes,no,no,yes,no,yes,County of Orange,3071,936,e56bc9e7-5e01-4ef0-9bcb-506eaca23365,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,935.91347141994
3099,0,Orange, , ,0,Salt Creek Beach Funicular and Stairway,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,943,287,48a472bb-39ec-4d4b-abea-70f35d0bd7a9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,287.434784573856
3100,0,Orange, , ,0,Salt Creek Beach County Park trails,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,1046,319,9d3844c1-6c7a-4012-b8f4-a969d391d389,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,318.888294364992
3101,0,Orange, , ,0,Salt Creek Beach County Park trails,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,862,263,1e1ce8fa-ce5d-41fc-90e0-ca9f3114cdca,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,262.808507933611
3102,0,Orange,ot27,Strand Beach Route and Revetment Trail,o100,ramp to Salt Creek Beach County Park,ors1,Salt Creek Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,yes,no,yes,County of Orange,100,30,ee58119c-611a-4e91-bfff-2c26990f34a9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,30.3966890798419
3103,0,Orange, , ,0,ramp trail from Salt Creek Beach Funicular,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,254,77,a2b336fe-c298-4b71-b5ab-06eed5a2a1bd,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,77.294614556802
3104,0,Orange, , ,0,Salt Creek Beach Funicular and Stairway,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,914,279,426bed9e-97fe-484f-9503-ee07b1717417,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,278.703342242042
3105,0,Orange, , ,0,Oceanfront Lane,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,836,255,7172a724-a746-4f89-accb-900b6ec75285,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,254.845362582796
3106,0,Orange, , ,0,stairs and trail to Strand Revetment Trail,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes, , , ,no,no,County of Orange,1018,310,e5ecbe67-46f5-452b-ae44-3a9185d95c16,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,310.159396923251
3107,0,Orange, , ,0,stairs to Silver Strand Beach County Park,ors1,Silver Strand Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,County of Orange,83,25,a6c0dedd-85c6-4a2b-b125-36a873c8c4ea,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,25.3482005803065
3108,0,Orange, , ,0,ADA ramp to Treasure Island Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,538,164,5cd4a21c-76f3-4676-8a05-6ed870ddc85c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,163.994078421199
3109,0,Orange,ot23,Aliso Beach Park and Beach Route,o88,Aliso Creek County Beach - Aliso Beach Park,ors1,Orange County Parks,County,Primary CCT,Trail,yes,no,no,yes,no,yes,County of Orange,1163,354,4ad26690-c050-410f-8ef9-f8f97301d565,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,354.421336701344
3110,0,Orange, , ,0,Camel Point Beach - West Street Beach,ors1,Orange County Parks,County,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,County of Orange,2194,669,7f9fec28-bcf9-4979-a12e-b09b890388c7,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,668.634259850787
3111,0,Orange, , ,0,to Camel Point Beach - Aliso Beach County Park,ors1,Orange County Parks,County,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,County of Orange,479,146,55323582-129a-4ce4-a405-316187b80302,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,145.981904287809
3112,0,Orange, , ,0,stairway to West Street Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,435,133,91d92fe4-c4ae-4e71-80e2-dfa09844c4ce,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,132.564426439594
3113,0,Orange, , ,0,stairway to West Street Beach,ors5,City of Laguna Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Laguna Beach,495,151,63a989e3-6988-4472-b1f9-607f9b543240,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,150.895220822038
3114,0,Orange, , ,0,stairway to Table Rock Beach,ors1,Orange County,County,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,County of Orange,478,146,24d1370a-3655-4e1e-becd-04ae79abe252,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,145.739365099689
3115,0,Orange, , ,0,Table Rock Beach,ors1,Orange County,County,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,County of Orange,529,161,f392057a-cace-4f9f-b24b-e5f3d32e2241,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,161.157029597137
3116,0,Orange, , ,0,stairway to Thousand Steps Beach,ors1,Orange County,County,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,County of Orange,568,173,51e01d9b-d740-460b-a748-b96aed0d509a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,173.019053846494
3117,0,Orange,ot25,Salt Creek Beach Park and Beach Route,o96,Salt Creek Beach County Park trails,ors1,Salt Creek Beach County Park,County Park,Primary CCT,Trail,yes,no,no,no,no,yes,County of Orange,847,258,4dc91cc8-4718-49cc-b88a-fee01436e0f5,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,258.01889673857
3118,0,Orange,ot13,Balboa Island Bayfront Walkway,o41,Balboa Island - The Grand Canal,ors4,City of Newport Beach,City,Primary CCT,Sidewalk,yes,no,no,yes,no,yes,City of Newport Beach,2816,858,598c29eb-f3d7-4fd5-98a0-6c6d9791d606,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,858.200771309281
3119,0,Orange,ot13,Balboa Island Bayfront Walkway,o42,Balboa Island - East Bay Front Walkway,ors4,City of Newport Beach,City,Primary CCT,Sidewalk,yes,no,no,yes,no,yes,City of Newport Beach,3218,981,166a67c5-91ce-4f1e-96ce-5c1bd7f4be85,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,980.732520139716
3120,0,Orange,ot13,Balboa Island Bayfront Walkway,o43,Balboa Island - The Grand Canal,ors4,City of Newport Beach,City,Primary CCT,Sidewalk,yes,no,no,yes,no,yes,City of Newport Beach,1179,359,0a7327df-b576-43a3-b993-264720385e72,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,359.29943635415
3121,0,Orange, , ,0,Newport Pier,ors4,City of Newport Beach,City,Beach or Shoreline Access CCT,Pier,yes,yes, ,yes,no,no,City of Newport Beach,1504,458,6abca629-758e-42a9-b909-50ba4fff0076,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,458.305734014938
3122,0,Orange,ot14,Corona del Mar Bluffs Path,o47,Ocean Blvd - Corona Del Mar,ors4,City of Newport Beach,City,Primary CCT,Sidewalk,yes,yes,no,yes,yes,yes,City of Newport Beach,3932,1198,2b6e255c-0ef7-48b2-b44d-965af04358d6,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1198.33364341118
3123,0,Orange, , ,0,Inspiration Point,ors4,City of Newport Beach,City,Primary CCT,Trail,yes, , , ,no,no,City of Newport Beach,167,51,367b33ac-1de9-45e5-b1c9-178b1de3a7db,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,51.0018257656207
3124,0,Orange,ot15,Corona del Mar State Beach Path,o50,Corona del Mar State Beach,ca2,Corona del Mar State Beach,City,Primary CCT,Trail,yes,yes,no,yes,no,yes,City of Newport Beach,2156,657,b2f92f77-f7f5-4723-8f9a-f373082fde73,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,657.262219244926
3125,0,Orange, , ,0,Corona del Mar State Beach jetty,ca2,Corona del Mar State Beach,City,Primary CCT,Jetty,yes,no,no, ,no,no,City of Newport Beach,1051,320,a853cc75-88ab-4549-8ee3-856aedd7b7dd,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,320.375712806886
3126,0,San Diego,sdt110,Santa Clara Cove Beach,sd719,Santa Clara Point shoreline - North end,sds3,City of San Diego - Mission Bay,City,Primary CCT - Needs Improvement,Trail,yes,no,no,no,no,yes,City of San Diego,478,146,25e060d7-ed33-4059-a4cb-827a00cb035d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,145.639768283822
3127,0,Orange,ot16,Corona del Mar State Beach Route,o52,Corona del Mar State Beach,ca2,Corona del Mar State Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,City of Newport Beach,2106,642,49ff6b11-ef07-489c-b959-42c7a603cc27,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,641.779780865982
3128,0,Orange, , ,0,to Corona del Mar State Beach,ca2,Corona del Mar State Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Newport Beach,222,68,aa5d51ce-7a39-48ce-80ca-3c9f0bc451e8,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,67.5448255596098
3129,0,Orange, , ,0,stairs at West el Portal to San Clemente SB,ors7,City of San Clemente,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of San Clemente,343,105,2d5da95d-b255-46be-a4e5-1a2f5b5b42f2,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,104.695511020258
3130,0,Orange, , ,0,Balboa Pier,ors4,City of Newport Beach,City,Beach or Shoreline Access CCT,Pier,yes,yes, ,yes,no,no,City of Newport Beach,1362,415,7df4e1d7-f26f-48bb-88ca-c38770d1a9d9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,415.200831792996
3131,0,Orange,ot27,Strand Beach Route and Revetment Trail,o101,ramp to Silver Strand Beach County Park,ors1,Silver Strand Beach County Park,County Park,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,County of Orange,82,25,aac1405f-f656-4209-863e-d6e5b90679c9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,25.1257273194052
3132,0,Orange,ot28,Dana Point Headland,o108,Dana Point Preserve Headlands Trail,ors6,City of Dana Point,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Dana Point,3091,942,b53c0034-55f7-4d2a-81af-848258b60ae8,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,942.037173565518
